,feature_name,importance
1510,Column_1510,0
1511,Column_1511,0
1512,Column_1512,0
1513,Column_1513,0
1514,Column_1514,0
1515,Column_1515,0
1516,Column_1516,0
1517,Column_1517,0
1518,Column_1518,0
1519,Column_1519,0
1520,Column_1520,0
1507,Column_1507,0
1521,Column_1521,0
1505,Column_1505,0
1501,Column_1501,0
1485,Column_1485,0
97,Column_97,0
1486,Column_1486,0
1487,Column_1487,0
1488,Column_1488,0
1489,Column_1489,0
1490,Column_1490,0
1491,Column_1491,0
1492,Column_1492,0
1493,Column_1493,0
1494,Column_1494,0
1495,Column_1495,0
1496,Column_1496,0
1497,Column_1497,0
1498,Column_1498,0
1499,Column_1499,0
1500,Column_1500,0
1502,Column_1502,0
99,Column_99,0
1522,Column_1522,0
1524,Column_1524,0
1542,Column_1542,0
1543,Column_1543,0
1544,Column_1544,0
1545,Column_1545,0
1546,Column_1546,0
1547,Column_1547,0
1548,Column_1548,0
1549,Column_1549,0
1550,Column_1550,0
13,Column_13,0
1552,Column_1552,0
1555,Column_1555,0
1556,Column_1556,0
1562,Column_1562,0
1568,Column_1568,0
1572,Column_1572,0
1580,Column_1580,0
26,Column_26,0
1523,Column_1523,0
1541,Column_1541,0
1540,Column_1540,0
1525,Column_1525,0
1526,Column_1526,0
1527,Column_1527,0
1528,Column_1528,0
1529,Column_1529,0
1530,Column_1530,0
1531,Column_1531,0
1532,Column_1532,0
1533,Column_1533,0
1534,Column_1534,0
1535,Column_1535,0
1536,Column_1536,0
1537,Column_1537,0
1538,Column_1538,0
1539,Column_1539,0
34,Column_34,0
33,Column_33,0
28,Column_28,0
350,Column_350,0
1484,Column_1484,0
102,Column_102,0
1479,Column_1479,0
160,Column_160,0
159,Column_159,0
158,Column_158,0
157,Column_157,0
156,Column_156,0
155,Column_155,0
154,Column_154,0
153,Column_153,0
152,Column_152,0
151,Column_151,0
150,Column_150,0
149,Column_149,0
148,Column_148,0
147,Column_147,0
146,Column_146,0
145,Column_145,0
1478,Column_1478,0
144,Column_144,0
163,Column_163,0
165,Column_165,0
182,Column_182,0
181,Column_181,0
180,Column_180,0
179,Column_179,0
178,Column_178,0
1474,Column_1474,0
176,Column_176,0
175,Column_175,0
174,Column_174,0
173,Column_173,0
172,Column_172,0
171,Column_171,0
170,Column_170,0
169,Column_169,0
1475,Column_1475,0
1476,Column_1476,0
166,Column_166,0
1477,Column_1477,0
101,Column_101,0
143,Column_143,0
141,Column_141,0
119,Column_119,0
118,Column_118,0
117,Column_117,0
116,Column_116,0
115,Column_115,0
114,Column_114,0
113,Column_113,0
1480,Column_1480,0
1481,Column_1481,0
110,Column_110,0
109,Column_109,0
108,Column_108,0
107,Column_107,0
1482,Column_1482,0
105,Column_105,0
104,Column_104,0
1483,Column_1483,0
120,Column_120,0
142,Column_142,0
121,Column_121,0
123,Column_123,0
140,Column_140,0
139,Column_139,0
138,Column_138,0
137,Column_137,0
136,Column_136,0
135,Column_135,0
134,Column_134,0
133,Column_133,0
132,Column_132,0
131,Column_131,0
130,Column_130,0
129,Column_129,0
128,Column_128,0
127,Column_127,0
126,Column_126,0
125,Column_125,0
124,Column_124,0
122,Column_122,0
351,Column_351,0
342,Column_342,0
353,Column_353,0
577,Column_577,0
576,Column_576,0
575,Column_575,0
574,Column_574,0
573,Column_573,0
572,Column_572,0
571,Column_571,0
578,Column_578,0
570,Column_570,0
568,Column_568,0
567,Column_567,0
566,Column_566,0
565,Column_565,0
564,Column_564,0
563,Column_563,0
562,Column_562,0
569,Column_569,0
579,Column_579,0
580,Column_580,0
581,Column_581,0
598,Column_598,0
597,Column_597,0
596,Column_596,0
595,Column_595,0
594,Column_594,0
593,Column_593,0
592,Column_592,0
591,Column_591,0
1450,Column_1450,0
1451,Column_1451,0
1452,Column_1452,0
1453,Column_1453,0
586,Column_586,0
585,Column_585,0
584,Column_584,0
583,Column_583,0
582,Column_582,0
561,Column_561,0
560,Column_560,0
559,Column_559,0
558,Column_558,0
536,Column_536,0
535,Column_535,0
534,Column_534,0
533,Column_533,0
532,Column_532,0
531,Column_531,0
530,Column_530,0
529,Column_529,0
528,Column_528,0
352,Column_352,0
526,Column_526,0
525,Column_525,0
524,Column_524,0
523,Column_523,0
522,Column_522,0
521,Column_521,0
520,Column_520,0
537,Column_537,0
599,Column_599,0
538,Column_538,0
540,Column_540,0
557,Column_557,0
556,Column_556,0
555,Column_555,0
554,Column_554,0
553,Column_553,0
552,Column_552,0
551,Column_551,0
550,Column_550,0
549,Column_549,0
548,Column_548,0
547,Column_547,0
546,Column_546,0
545,Column_545,0
544,Column_544,0
543,Column_543,0
542,Column_542,0
541,Column_541,0
539,Column_539,0
600,Column_600,0
601,Column_601,0
602,Column_602,0
661,Column_661,0
660,Column_660,0
659,Column_659,0
658,Column_658,0
657,Column_657,0
656,Column_656,0
655,Column_655,0
654,Column_654,0
653,Column_653,0
652,Column_652,0
651,Column_651,0
650,Column_650,0
649,Column_649,0
648,Column_648,0
647,Column_647,0
646,Column_646,0
645,Column_645,0
662,Column_662,0
644,Column_644,0
663,Column_663,0
665,Column_665,0
682,Column_682,0
681,Column_681,0
680,Column_680,0
679,Column_679,0
678,Column_678,0
677,Column_677,0
676,Column_676,0
675,Column_675,0
674,Column_674,0
673,Column_673,0
672,Column_672,0
671,Column_671,0
670,Column_670,0
669,Column_669,0
668,Column_668,0
667,Column_667,0
666,Column_666,0
664,Column_664,0
519,Column_519,0
643,Column_643,0
641,Column_641,0
619,Column_619,0
618,Column_618,0
617,Column_617,0
616,Column_616,0
615,Column_615,0
614,Column_614,0
613,Column_613,0
612,Column_612,0
611,Column_611,0
610,Column_610,0
609,Column_609,0
608,Column_608,0
1448,Column_1448,0
606,Column_606,0
605,Column_605,0
1449,Column_1449,0
603,Column_603,0
620,Column_620,0
642,Column_642,0
621,Column_621,0
623,Column_623,0
640,Column_640,0
639,Column_639,0
638,Column_638,0
637,Column_637,0
636,Column_636,0
635,Column_635,0
634,Column_634,0
633,Column_633,0
632,Column_632,0
631,Column_631,0
630,Column_630,0
629,Column_629,0
628,Column_628,0
627,Column_627,0
626,Column_626,0
625,Column_625,0
624,Column_624,0
622,Column_622,0
518,Column_518,0
527,Column_527,0
516,Column_516,0
411,Column_411,0
410,Column_410,0
409,Column_409,0
408,Column_408,0
407,Column_407,0
406,Column_406,0
405,Column_405,0
412,Column_412,0
404,Column_404,0
402,Column_402,0
401,Column_401,0
400,Column_400,0
399,Column_399,0
1460,Column_1460,0
