,feature_name,importance
470,Column_470,0
469,Column_469,0
468,Column_468,0
467,Column_467,0
466,Column_466,0
465,Column_465,0
464,Column_464,0
463,Column_463,0
462,Column_462,0
461,Column_461,0
460,Column_460,0
459,Column_459,0
458,Column_458,0
457,Column_457,0
456,Column_456,0
227,Column_227,0
455,Column_455,0
228,Column_228,0
229,Column_229,0
454,Column_454,0
453,Column_453,0
473,Column_473,0
474,Column_474,0
475,Column_475,0
476,Column_476,0
498,Column_498,0
221,Column_221,0
222,Column_222,0
223,Column_223,0
494,Column_494,0
493,Column_493,0
492,Column_492,0
491,Column_491,0
490,Column_490,0
489,Column_489,0
488,Column_488,0
219,Column_219,0
487,Column_487,0
485,Column_485,0
484,Column_484,0
483,Column_483,0
482,Column_482,0
481,Column_481,0
480,Column_480,0
224,Column_224,0
479,Column_479,0
478,Column_478,0
225,Column_225,0
226,Column_226,0
486,Column_486,0
452,Column_452,0
195,Column_195,0
194,Column_194,0
628,Column_628,0
627,Column_627,0
626,Column_626,0
625,Column_625,0
624,Column_624,0
623,Column_623,0
153,Column_153,0
154,Column_154,0
155,Column_155,0
620,Column_620,0
619,Column_619,0
618,Column_618,0
617,Column_617,0
157,Column_157,0
615,Column_615,0
614,Column_614,0
612,Column_612,0
611,Column_611,0
161,Column_161,0
609,Column_609,0
607,Column_607,0
164,Column_164,0
165,Column_165,0
629,Column_629,0
630,Column_630,0
631,Column_631,0
632,Column_632,0
650,Column_650,0
136,Column_136,0
242,Column_242,0
648,Column_648,0
137,Column_137,0
647,Column_647,0
138,Column_138,0
139,Column_139,0
646,Column_646,0
143,Column_143,0
645,Column_645,0
166,Column_166,0
644,Column_644,0
642,Column_642,0
641,Column_641,0
640,Column_640,0
639,Column_639,0
638,Column_638,0
637,Column_637,0
148,Column_148,0
636,Column_636,0
635,Column_635,0
634,Column_634,0
633,Column_633,0
643,Column_643,0
551,Column_551,0
603,Column_603,0
167,Column_167,0
177,Column_177,0
178,Column_178,0
569,Column_569,0
568,Column_568,0
179,Column_179,0
566,Column_566,0
180,Column_180,0
181,Column_181,0
182,Column_182,0
564,Column_564,0
183,Column_183,0
562,Column_562,0
184,Column_184,0
185,Column_185,0
186,Column_186,0
187,Column_187,0
188,Column_188,0
189,Column_189,0
190,Column_190,0
191,Column_191,0
192,Column_192,0
554,Column_554,0
193,Column_193,0
572,Column_572,0
574,Column_574,0
575,Column_575,0
576,Column_576,0
600,Column_600,0
599,Column_599,0
598,Column_598,0
597,Column_597,0
596,Column_596,0
595,Column_595,0
594,Column_594,0
593,Column_593,0
592,Column_592,0
168,Column_168,0
590,Column_590,0
602,Column_602,0
169,Column_169,0
170,Column_170,0
171,Column_171,0
172,Column_172,0
584,Column_584,0
173,Column_173,0
174,Column_174,0
581,Column_581,0
175,Column_175,0
579,Column_579,0
578,Column_578,0
577,Column_577,0
588,Column_588,0
451,Column_451,0
450,Column_450,0
449,Column_449,0
318,Column_318,0
317,Column_317,0
316,Column_316,0
315,Column_315,0
314,Column_314,0
313,Column_313,0
312,Column_312,0
311,Column_311,0
310,Column_310,0
309,Column_309,0
308,Column_308,0
307,Column_307,0
306,Column_306,0
305,Column_305,0
304,Column_304,0
303,Column_303,0
302,Column_302,0
301,Column_301,0
300,Column_300,0
299,Column_299,0
298,Column_298,0
297,Column_297,0
296,Column_296,0
319,Column_319,0
320,Column_320,0
321,Column_321,0
322,Column_322,0
344,Column_344,0
237,Column_237,0
238,Column_238,0
343,Column_343,0
342,Column_342,0
341,Column_341,0
340,Column_340,0
339,Column_339,0
338,Column_338,0
337,Column_337,0
336,Column_336,0
295,Column_295,0
335,Column_335,0
333,Column_333,0
332,Column_332,0
331,Column_331,0
330,Column_330,0
329,Column_329,0
328,Column_328,0
327,Column_327,0
326,Column_326,0
